Id,Estado,Genero,Idade
1,RS,Feminino,42
2,SC,Feminino,41
3,RS,Feminino,42
4,RS,Feminino,39
5,SC,Feminino,43
6,SC,Masculino,44
7,RS,Masculino,50
8,PR,Feminino,29
9,RS,Masculino,44
10,RS,Masculino,27
11,RS,Masculino,31
12,SC,Masculino,24
13,RS,Feminino,34
14,RS,Feminino,25
15,SC,Feminino,35
16,PR,Masculino,45
17,PR,Masculino,58
18,SC,Feminino,24
19,SC,Masculino,45
20,RS,Feminino,24
21,RS,Masculino,41
22,SC,Feminino,32
23,RS,Feminino,38
24,RS,Masculino,46
25,RS,Feminino,38
26,RS,Masculino,25
27,PR,Masculino,36
28,RS,Masculino,44
29,SP,Feminino,43
30,RS,Masculino,29
31,SC,Feminino,39
32,RS,Masculino,36
33,SP,Masculino,41
34,SC,Feminino,42
35,SC,Feminino,29
36,RS,Feminino,45
37,SC,Masculino,31
38,SC,Masculino,33
39,RS,Masculino,36
40,PR,Masculino,41
41,SC,Masculino,40
42,RS,Feminino,51
43,RS,Feminino,61
44,RS,Feminino,49
45,SC,Feminino,61
46,PR,Feminino,32
47,PR,Feminino,27
48,PR,Feminino,39
49,PR,Masculino,38
50,PR,Feminino,37
51,PR,Masculino,44
52,PR,Masculino,36
53,RS,Feminino,33
54,PR,Masculino,41
55,PR,Masculino,42
56,SP,Masculino,43
57,RS,Masculino,45
58,PR,Masculino,19
59,SC,Feminino,66
60,RS,Masculino,51
61,PR,Masculino,35
62,PR,Feminino,27
63,SC,Masculino,33
64,SC,Masculino,56
65,PR,Masculino,26
66,PR,Feminino,36
67,PR,Feminino,34
68,PR,Masculino,43
69,PR,Feminino,35
70,RS,Feminino,21
71,PR,Masculino,58
72,RS,Masculino,29
73,SC,Feminino,37
74,PR,Feminino,25
75,RS,Masculino,36
76,SP,Feminino,21
77,RS,Masculino,55
78,RS,Feminino,32
79,SC,Masculino,33
80,PR,Feminino,41
81,RS,Feminino,34
84,RS,Feminino,36
85,RS,Feminino,34
86,RS,Masculino,46
87,SC,Feminino,75
88,SC,Masculino,22
89,RS,Masculino,30
90,RS,Feminino,46
91,PR,Feminino,28
92,SC,Feminino,44
93,RS,Masculino,45
94,RS,Feminino,36
95,RS,Masculino,29
96,SC,Masculino,42
97,SC,Masculino,35
98,SC,Masculino,41
99,PR,Masculino,29
100,SC,Masculino,22
101,RS,Masculino,34
102,RS,Feminino,40
103,RS,Feminino,44
104,RS,Masculino,31
105,SC,Masculino,36
106,SC,Feminino,65
107,SC,Feminino,46
108,PR,Masculino,32
109,PR,Feminino,36
